Assessment Name,Short Description,URL,text_for_embedding,assessment_type
Split Screen Typing Test - Form 1,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/split-screen-typing-test-form-1/,Split Screen Typing Test - Form 1. Assessment for evaluating specific skills and competencies,General
Networking and Implementation (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/networking-and-implementation-new/,Networking and Implementation (New). Assessment for evaluating specific skills and competencies,General
Adobe Experience Manager (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,Adobe Experience Manager (New). Assessment for evaluating specific skills and competencies,General
Filing - Names (R1),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/filing-names-r1/,Filing - Names (R1). Assessment for evaluating specific skills and competencies,General
OPQ User and Managers Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-user-and-managers-report/,OPQ User and Managers Report. Assessment for evaluating specific skills and competencies,Personality & Behavior
Data Science (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/data-science-new/,Data Science (New). Assessment for evaluating specific skills and competencies,General
MQ Profile,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/mq-profile/,MQ Profile. Assessment for evaluating specific skills and competencies,General
Workplace Health and Safety (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/workplace-health-and-safety-new/,Workplace Health and Safety (New). Assessment for evaluating specific skills and competencies,General
Administrative Professional - Short Form,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Administrative Professional - Short Form. Assessment for evaluating specific skills and competencies,General
HiPo Assessment Report 1.0,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-1-0/,HiPo Assessment Report 1.0. Assessment for evaluating specific skills and competencies,General
Enterprise Leadership Report 2.0,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,Enterprise Leadership Report 2.0. Assessment for evaluating specific skills and competencies,General
Mineral Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,Mineral Engineering (New). Assessment for evaluating specific skills and competencies,General
Electronics and Semiconductor Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,Electronics and Semiconductor Engineering (New). Assessment for evaluating specific skills and competencies,General
Managerial Scenarios Candidate Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/managerial-scenarios-candidate-report/,Managerial Scenarios Candidate Report. Assessment for evaluating specific skills and competencies,General
Culinary Skills (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/culinary-skills-new/,Culinary Skills (New). Assessment for evaluating specific skills and competencies,General
Social Media (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/social-media-new/,Social Media (New). Assessment for evaluating specific skills and competencies,General
Micro Focus Unified Functional Testing (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/micro-focus-unified-functional-testing-new/,Micro Focus Unified Functional Testing (New). Assessment for evaluating specific skills and competencies,General
Fire Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/fire-engineering-new/,Fire Engineering (New). Assessment for evaluating specific skills and competencies,General
Statistical Analysis System (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/statistical-analysis-system-new/,Statistical Analysis System (New). Assessment for evaluating specific skills and competencies,General
Kubernetes (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/kubernetes-new/,Kubernetes (New). Assessment for evaluating specific skills and competencies,General
UiPath RPA Development (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/uipath-rpa-development-new/,UiPath RPA Development (New). Assessment for evaluating specific skills and competencies,General
Pediatrics (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/pediatrics-new/,Pediatrics (New). Assessment for evaluating specific skills and competencies,General
Proofreading v1,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/proofreading-v1/,Proofreading v1. Assessment for evaluating specific skills and competencies,General
Electronics and Embedded Systems Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,Electronics and Embedded Systems Engineering (New). Assessment for evaluating specific skills and competencies,General
Contact Center Call Simulation (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,Contact Center Call Simulation (New). Assessment for evaluating specific skills and competencies,Simulation
Dermatology (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/dermatology-new/,Dermatology (New). Assessment for evaluating specific skills and competencies,General
SQL Server Analysis Services (SSAS) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,SQL Server Analysis Services (SSAS) (New). Assessment for evaluating specific skills and competencies,General
Time Management (U.S.),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/time-management-u-s/,Time Management (U.S.). Assessment for evaluating specific skills and competencies,General
BizTalk (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/biztalk-new/,BizTalk (New). Assessment for evaluating specific skills and competencies,General
IBM DataStage (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/ibm-datastage-new/,IBM DataStage (New). Assessment for evaluating specific skills and competencies,General
Bank Administrative Assistant - Short Form,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,Bank Administrative Assistant - Short Form. Assessment for evaluating specific skills and competencies,General
COBOL Programming (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/cobol-programming-new/,COBOL Programming (New). Assessment for evaluating specific skills and competencies,Technical Skills
SQL (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sql-new/,SQL (New). Assessment for evaluating specific skills and competencies,General
Visual Basic for Applications (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/visual-basic-for-applications-new/,Visual Basic for Applications (New). Assessment for evaluating specific skills and competencies,General
OPQ Universal Competency Report 2.0,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report-2-0/,OPQ Universal Competency Report 2.0. Assessment for evaluating specific skills and competencies,Personality & Behavior
Apache Hive (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/apache-hive-new/,Apache Hive (New). Assessment for evaluating specific skills and competencies,General
Cisco AppDynamics (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,Cisco AppDynamics (New). Assessment for evaluating specific skills and competencies,General
Oracle DBA (Entry Level) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/oracle-dba-entry-level-new/,Oracle DBA (Entry Level) (New). Assessment for evaluating specific skills and competencies,General
Digital Readiness Development Report - Manager,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report-manager/,Digital Readiness Development Report - Manager. Assessment for evaluating specific skills and competencies,General
Enterprise Java Beans (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/enterprise-java-beans-new/,Enterprise Java Beans (New). Assessment for evaluating specific skills and competencies,Technical Skills
.NET MVC (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/net-mvc-new/,.NET MVC (New). Assessment for evaluating specific skills and competencies,Technical Skills
Android Development (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/android-development-new/,Android Development (New). Assessment for evaluating specific skills and competencies,General
Java Design Patterns (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/java-design-patterns-new/,Java Design Patterns (New). Assessment for evaluating specific skills and competencies,Technical Skills
Microsoft Excel 365 (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/,Microsoft Excel 365 (New). Assessment for evaluating specific skills and competencies,General
SAP HCM (Human Capital Management) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sap-hcm-human-capital-management-new/,SAP HCM (Human Capital Management) (New). Assessment for evaluating specific skills and competencies,General
SAP ABAP (Advanced Level) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sap-abap-advanced-level-new/,SAP ABAP (Advanced Level) (New). Assessment for evaluating specific skills and competencies,General
OPQ Premium Plus Report 2.0,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report-2-0/,OPQ Premium Plus Report 2.0. Assessment for evaluating specific skills and competencies,Personality & Behavior
Molecular Biology (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/molecular-biology-new/,Molecular Biology (New). Assessment for evaluating specific skills and competencies,General
Global Skills Development Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,Global Skills Development Report. Assessment for evaluating specific skills and competencies,General
RemoteWorkQ Participant Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/remoteworkq-participant-report/,RemoteWorkQ Participant Report. Assessment for evaluating specific skills and competencies,General
Cyber Risk (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/cyber-risk-new/,Cyber Risk (New). Assessment for evaluating specific skills and competencies,General
Written English v1,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/written-english-v1/,Written English v1. Assessment for evaluating specific skills and competencies,General
"Bookkeeping, Accounting, Auditing Clerk Short Form",Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"Bookkeeping, Accounting, Auditing Clerk Short Form. Assessment for evaluating specific skills and competencies",General
Desktop Support (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/desktop-support-new/,Desktop Support (New). Assessment for evaluating specific skills and competencies,General
OPQ Leadership Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-leadership-report/,OPQ Leadership Report. Assessment for evaluating specific skills and competencies,Personality & Behavior
Ruby (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/ruby-new/,Ruby (New). Assessment for evaluating specific skills and competencies,General
Software Business Analysis,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/software-business-analysis/,Software Business Analysis. Assessment for evaluating specific skills and competencies,General
Universal Competency Framework Interview Guide,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/universal-competency-framework-interview-guide/,Universal Competency Framework Interview Guide. Assessment for evaluating specific skills and competencies,General
Manufac. & Indust. - Safety & Dependability 8.0,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/safety-and-dependability-focus-8-0/,Manufac. & Indust. - Safety & Dependability 8.0. Assessment for evaluating specific skills and competencies,General
Zabbix (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/zabbix-new/,Zabbix (New). Assessment for evaluating specific skills and competencies,General
Automata Data Science (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/automata-data-science-new/,Automata Data Science (New). Assessment for evaluating specific skills and competencies,General
Entry Level Customer Service (General) Solution,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-general-solution/,Entry Level Customer Service (General) Solution. Assessment for evaluating specific skills and competencies,General
MS PowerPoint (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/,MS PowerPoint (New). Assessment for evaluating specific skills and competencies,General
Automata Selenium,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/automata-selenium/,Automata Selenium. Assessment for evaluating specific skills and competencies,General
Java 2 Platform Enterprise Edition 1.4 Fundamental,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,Java 2 Platform Enterprise Edition 1.4 Fundamental. Assessment for evaluating specific skills and competencies,Technical Skills
Pharmaceutical Analysis (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/pharmaceutical-analysis-new/,Pharmaceutical Analysis (New). Assessment for evaluating specific skills and competencies,General
Verify - Technical Checking - Next Generation,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/verify-technical-checking-next-generation/,Verify - Technical Checking - Next Generation. Assessment for evaluating specific skills and competencies,Cognitive
Apache Spark (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/apache-spark-new/,Apache Spark (New). Assessment for evaluating specific skills and competencies,General
Salesforce Development (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/salesforce-development-new/,Salesforce Development (New). Assessment for evaluating specific skills and competencies,General
Automata - SQL (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/automata-sql-new/,Automata - SQL (New). Assessment for evaluating specific skills and competencies,General
jQuery (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/jquery-new/,jQuery (New). Assessment for evaluating specific skills and competencies,General
.NET WCF (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/net-wcf-new/,.NET WCF (New). Assessment for evaluating specific skills and competencies,Technical Skills
Automata Pro (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/automata-pro-new/,Automata Pro (New). Assessment for evaluating specific skills and competencies,General
Load Runner (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/load-runner-new/,Load Runner (New). Assessment for evaluating specific skills and competencies,General
Dependability and Safety Instrument (DSI),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/dependability-and-safety-instrument-dsi/,Dependability and Safety Instrument (DSI). Assessment for evaluating specific skills and competencies,General
Nursing (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/nursing-new/,Nursing (New). Assessment for evaluating specific skills and competencies,General
Reading Comprehension v2,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/reading-comprehension-v2/,Reading Comprehension v2. Assessment for evaluating specific skills and competencies,Language
Electrical and Electronics Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,Electrical and Electronics Engineering (New). Assessment for evaluating specific skills and competencies,General
Entry Level Cashier Solution,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/,Entry Level Cashier Solution. Assessment for evaluating specific skills and competencies,General
HTML5 (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/html5-new/,HTML5 (New). Assessment for evaluating specific skills and competencies,General
Manufacturing & Industrial - Mechanical Focus 8.0,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/mechanical-focus-8-0/,Manufacturing & Industrial - Mechanical Focus 8.0. Assessment for evaluating specific skills and competencies,General
.NET MVVM (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/net-mvvm-new/,.NET MVVM (New). Assessment for evaluating specific skills and competencies,Technical Skills
Human Resources (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/human-resources-new/,Human Resources (New). Assessment for evaluating specific skills and competencies,General
Verify - Deductive Reasoning,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/verify-deductive-reasoning/,Verify - Deductive Reasoning. Assessment for evaluating specific skills and competencies,Cognitive
Smart Interview Live,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/smart-interview-live/,Smart Interview Live. Assessment for evaluating specific skills and competencies,General
Reviewing Forms - US (R1),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/reviewing-forms-us-r1/,Reviewing Forms - US (R1). Assessment for evaluating specific skills and competencies,General
Metallurgical Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/metallurgical-engineering-new/,Metallurgical Engineering (New). Assessment for evaluating specific skills and competencies,General
Verify Interactive G+ Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/verify-interactive-g-report/,Verify Interactive G+ Report. Assessment for evaluating specific skills and competencies,Cognitive
Ruby on Rails (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/ruby-on-rails-new/,Ruby on Rails (New). Assessment for evaluating specific skills and competencies,General
Branch Manager - Short Form,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Branch Manager - Short Form. Assessment for evaluating specific skills and competencies,General
Global Skills Assessment,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/global-skills-assessment/,Global Skills Assessment. Assessment for evaluating specific skills and competencies,General
ASP .NET with C# (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,ASP .NET with C# (New). Assessment for evaluating specific skills and competencies,Technical Skills
Spelling (U.S.) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/spelling-u-s-new/,Spelling (U.S.) (New). Assessment for evaluating specific skills and competencies,General
Digital Readiness Development Report - IC,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/digital-readiness-development-report/,Digital Readiness Development Report - IC. Assessment for evaluating specific skills and competencies,General
OPQ Premium Plus Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report/,OPQ Premium Plus Report. Assessment for evaluating specific skills and competencies,Personality & Behavior
OPQ Team Types & Leadership Styles Profile,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,OPQ Team Types & Leadership Styles Profile. Assessment for evaluating specific skills and competencies,Personality & Behavior
Cloud Computing (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/cloud-computing-new/,Cloud Computing (New). Assessment for evaluating specific skills and competencies,General
Apache Pig (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/apache-pig-new/,Apache Pig (New). Assessment for evaluating specific skills and competencies,General
MuleSoft Development (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/mulesoft-development-new/,MuleSoft Development (New). Assessment for evaluating specific skills and competencies,General
Oracle PL/SQL (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/oracle-plsql-new/,Oracle PL/SQL (New). Assessment for evaluating specific skills and competencies,General
SAP BW (Business Warehouse) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sap-bw-business-warehouse-new/,SAP BW (Business Warehouse) (New). Assessment for evaluating specific skills and competencies,General
Retail Sales and Service Simulation,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/retail-sales-and-service-simulation/,Retail Sales and Service Simulation. Assessment for evaluating specific skills and competencies,Simulation
Sales & Service Phone Solution,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-solution/,Sales & Service Phone Solution. Assessment for evaluating specific skills and competencies,General
Verify G+ - Ability Test Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/verify-g-ability-test-report/,Verify G+ - Ability Test Report. Assessment for evaluating specific skills and competencies,Cognitive
Java Web Services (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/java-web-services-new/,Java Web Services (New). Assessment for evaluating specific skills and competencies,Technical Skills
Civil Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/civil-engineering-new/,Civil Engineering (New). Assessment for evaluating specific skills and competencies,General
SVAR - Spoken French (Canadian) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/svar-spoken-french-canadian-new/,SVAR - Spoken French (Canadian) (New). Assessment for evaluating specific skills and competencies,General
Verify - General Ability Screen,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/verify-general-ability-screen/,Verify - General Ability Screen. Assessment for evaluating specific skills and competencies,Cognitive
iOS Development (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/ios-development-new/,iOS Development (New). Assessment for evaluating specific skills and competencies,General
Pharmacology (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/pharmacology-new/,Pharmacology (New). Assessment for evaluating specific skills and competencies,General
Visual Comparison - UK,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/visual-comparison-uk/,Visual Comparison - UK. Assessment for evaluating specific skills and competencies,General
Java Platform Enterprise Edition 7 (Java EE 7),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,Java Platform Enterprise Edition 7 (Java EE 7). Assessment for evaluating specific skills and competencies,Technical Skills
SAP Materials Management (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sap-materials-management-new/,SAP Materials Management (New). Assessment for evaluating specific skills and competencies,General
Oracle WebLogic Server (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/oracle-weblogic-server-new/,Oracle WebLogic Server (New). Assessment for evaluating specific skills and competencies,General
